Price,Year,Make,Model,Condition,Engine Cylinders,Odometer,Driven Wheels
99950,2021,chevrolet,corvette stingray spor,good,4,510,rwd
29950,1998,pontiac,firebird trans am ws6,good,4,16429,rwd
39995,1999,dodge,viper rt 10 removable top,good,4,15897,rwd
2550,2004,cadillac,srx,good,6,224105,rwd
8800,2007,gmc,denali,good,8,269000,4wd
1,2012,ford,f250 super duty,good,4,150000,4wd
7500,1969,other,oldsmobile cutlass,good,4,80000,fwd
16990,2019,toyota,corolla,good,4,44752,fwd
12499,2012,toyota,camry,good,4,64950,fwd
13999,2018,kia,soul,good,4,46848,fwd
28249,2016,toyota,tundra double cab,good,8,78000,fwd
7999,2007,toyota,camry,good,6,67650,fwd
8799,2006,acura,tsx,good,4,89375,fwd
19990,2017,nissan,pathfinder,good,6,53950,fwd
2975,2006,other,Suzuki XL-7,good,6,217353,rwd
18800,2000,other,INTERNATIONAL 4700 DUMP,good,8,193348,rwd
19900,2011,ford,f250 service,good,8,142268,4wd
9990,2015,toyota,corolla le,excellent,4,125224,fwd
29950,2014,gmc,sierra 1500,excellent,8,139029,4wd
9990,2009,lexus,rx350,excellent,6,163230,fwd
0,2017,gmc,sierra 1500,good,8,60015,4wd
45950,2014,gmc,sierra 2500hd denali,excellent,8,154289,4wd
17897,2015,lincoln,mkz,good,6,91067,fwd
11500,2008,ford,f-250 super duty xl,good,8,283356,rwd
7990,2011,bmw,328i,excellent,6,123000,rwd
9990,2009,bmw,x5,excellent,6,93659,4wd
11990,2011,honda,crv ex-l,excellent,4,109000,fwd
0,2014,buick,enclave,good,6,143136,fwd
15990,2015,chevrolet,camaro,good,6,53000,rwd
0,2018,honda,cr v,excellent,4,22761,fwd
14700,2015,honda,cr-v ex-l,excellent,4,70672,4wd
500,2021,other,SPECIAL FINANCE PROGRAM 2020,fair,4,1400,fwd
11295,2014,chevrolet,sonic,good,4,49019,fwd
4350,2015,other,smart fortwo,good,3,69974,fwd
2450,2000,infiniti,qx4,good,6,246653,4wd
12950,2013,lexus,ct200h hybrid,good,4,77000,fwd
30488,2020,infiniti,q50,good,4,29366,rwd
17989,2018,toyota,camry,good,4,120943,fwd
22602,2021,toyota,corolla,good,4,10883,fwd
12977,2011,lexus,rx,good,4,140994,fwd
12995,2008,ford,f150 xl,good,4,93146,fwd
36995,2012,ford,f250 super duty 4x4,good,4,41364,4wd
